SiO2 melt, Natom=300                                           37    1
    300  2      1000      1000      1000   21  200    1    0 1001 1001      
  O     SI  
   200   100
     1   201
   200   300
    300.00   -1.0000    300.00    .00010    .00010    .00010
 .8892033 .2892404 .1383859 4.8297995.0485224.940258   .890643  .297339  .144165
 .3949880 .6070485 .9642621 4.9605475.0294974.903181   .391760  .599069  .963874
 .0974658 .3028066 .9868744 5.0029724.9616464.958285   .094322  .299290  .986042
 .5771198 .0433457 .8813042 4.9406085.0830464.979200   .581135  .022319  .892905
 .5461235 .9584930 .1413253 5.0355675.0027734.945382   .538458  .959414  .152539
 .8951349 .8240662 .7061610 4.9704055.0664915.087578   .899604  .820425  .707523
 .6301557 .7231716 .6662923 4.9579055.0543185.011708   .634334  .717091  .654740
 .6920515 .6936874 .5002818 5.0585695.0840175.036250   .707469  .686040  .494154
 .0898502 .7018538 .4131936 4.9514054.9942175.027804   .086971  .707871  .396989
 .7213049 .9396401 .9234728 5.0242504.9795185.013199   .721074  .935984  .930020
 .8932930 .6145081 .1857766 5.0767005.0062365.116859   .884644  .618726  .194386
 .0454905 .8453058 .0817987 4.9502044.9725545.054804   .042419  .842387  .086449
 .5817620 .5598931 .7766249 4.9465864.9405724.982673   .580835  .565290  .773544
 .9381370 .4907746 .3169807 4.9610895.0571545.010398   .934651  .495214  .312585
 .1955198 .3156482 .4539063 5.0154604.9697645.009535   .191369  .318018  .455231
 .9016697 .3011219 .7050871 5.0043375.0011284.830278   .904672  .295841  .700540
 .4643730 .3510035 .8426888 5.0192534.9302374.988002   .473584  .348440  .852781
 .2830541 .6129143 .7066239 5.0902964.9956665.058209   .283353  .605612  .695266
 .0606035 .7567888 .7268476 4.8977174.9929115.074940   .058301  .762922  .722155
 .3843902 .7781746 .7308941 4.9332934.8880324.916500   .383063  .765120  .744014
 .0176285 .1695649 .0713557 4.9801075.0612844.967832   .013648  .163560  .074522
 .5770235 .4288518 .3770953 4.8893725.0259814.975506   .577216  .414268  .381512
 .4061802 .5115353 .7912464 5.0004215.1791025.014059   .403721  .509523  .784609
 .2769222 .9472222 .5475866 5.0575004.8902794.981921   .273153  .956176  .543673
 .5916754 .3809769 .7119107 5.0277764.9595245.013249   .587959  .378356  .721828
 .3530511 .8017576 .2220808 5.0236644.8481784.932832   .356681  .802237  .215526
 .3688627 .3738074 .2796451 4.9655405.0073575.002603   .366648  .384514  .273809
 .4631291 .9206846 .9876253 4.9995764.9559104.888593   .465182  .917101  .995121
 .5069963 .5653298 .0901557 4.9611955.0146794.928547   .502622  .555115  .090809
 .0498493 .3776929 .3939564 5.0013945.1147824.959982   .052327  .385475  .386069
 .4842694 .7529662 .8988349 4.9297734.9895624.999801   .484347  .751888  .907446
 .1404951 .9596051 .3139964 4.9691245.0475954.985896   .139594  .966326  .317185
 .0639403 .0183896 .1635852 4.9808514.8709475.039924   .060478  .017316  .165275
 .2906494 .5460091 .2385976 4.8726715.0472214.995784   .281006  .554044  .234195
 .6141747 .2802364 .1079049 4.9314485.1293574.935663   .620125  .280914  .103624
 .6894262 .3236894 .5951470 4.9224744.9847044.899765   .696563  .326079  .604955
 .4367259 .9257661 .3047865 4.9398635.0402655.028117   .427850  .917700  .308789
 .9084721 .5986073 .8071442 4.8993684.9990434.966450   .908680  .607501  .796102
 .3346704 .6034204 .4260730 4.9312144.9790804.999055   .333126  .602800  .424358
 .4908203 .0487262 .7291952 5.0025425.0368855.041821   .503535  .044601  .728320
 .4773589 .5202593 .4758689 5.0795255.0526674.927927   .475383  .522336  .463589
 .8389255 .9089779 .1183066 5.0329055.0239484.980390   .835921  .905175  .123072
 .4453336 .1522662 .5617056 4.9795785.1017594.986166   .456025  .141923  .568737
 .3363337 .4246862 .4724395 5.0620755.0062015.005286   .331199  .430270  .469567
 .2688655 .7769914 .4982966 4.9180255.0391164.897591   .272241  .784157  .499055
 .2742445 .2137859 .3046590 5.1247355.0962435.095175   .267957  .225065  .298838
 .1332536 .1594450 .5605561 5.0210574.9483484.955921   .135799  .165805  .568995
 .1598595 .5357248 .8208557 4.9937275.0111924.998309   .164618  .539552  .820455
 .5498436 .3073724 .5343133 4.9410855.1060845.059866   .551858  .301150  .545199
 .3278522 .0725304 .8153121 5.1047954.8982255.060431   .338231  .062950  .817084
 .8507650 .2511139 .8678697 5.0448784.9989264.967344   .851150  .250298  .859234
 .2972154 .1082018 .6327035 5.0312784.9996265.042780   .298979  .107811  .635430
 .0267082 .4835009 .7268220 4.9929734.9870965.003075   .030633  .486611  .722356
 .0087250 .4315345 .0972681 5.0479594.9678244.972492   .002017  .436510  .088995
 .5524386 .9038643 .4558042 5.0747265.0314535.003294   .545040  .890253  .458257
 .1432616 .5111497 .1566801 5.0087815.0211045.084579   .137719  .526322  .146922
 .3077647 .6908855 .0951665 5.0362335.0040615.069901   .302924  .690829  .088523
 .3827439 .3710419 .0046144 4.9799715.0179374.983830   .382117  .365600  .011068
 .5313768 .1283066 .0350033 4.9718365.0317274.984619   .538086  .122057  .041371
 .8991608 .8194860 .9627690 4.9371884.9594785.047048   .899045  .831882  .971302
 .1672660 .6689346 .5945813 5.0550535.0608735.058334   .159001  .682066  .584257
 .7755181 .7184939 .7666642 5.0599584.9961954.917954   .769169  .726265  .764728
 .8929396 .0159967 .6648621 5.0587075.0223474.960621   .902509  .010470  .667179
 .9674964 .4450187 .5507666 5.0505215.0449805.039547   .974614  .444756  .543073
 .8414982 .3208588 .3275164 5.0038105.0334025.037129   .841485  .321201  .332843
 .2702317 .8949005 .8276354 5.0919864.9598505.076405   .267752  .890203  .830301
 .9316258 .9400479 .4993574 5.0248794.9831314.997441   .938769  .938113  .494989
      1000  300   0 971025
